Influencer,link,video 1,video 2,video 3,Average Views,Multiplier
https://tiktok.com/@sofia.marttinezz,https://tiktok.com/@sofia.marttinezz,274500.0,164800.0,184700.0,170300.0,
https://tiktok.com/@unknowlss,https://tiktok.com/@unknowlss,13800.0,30800.0,494000.0,124920.0,
https://tiktok.com/@dansfitspo,https://tiktok.com/@dansfitspo,119.0,2941.0,11800.0,9004.8,
https://tiktok.com/@fynnaves,https://tiktok.com/@fynnaves,16600.0,2709.0,14700.0,13409.4,
https://tiktok.com/@giacanning,https://tiktok.com/@giacanning,37400.0,37700.0,6100000.0,1265460.0,
https://tiktok.com/@eisabely,https://tiktok.com/@eisabely,1518.0,27500.0,10300.0,13303.6,
https://tiktok.com/@marivicenzi,https://tiktok.com/@marivicenzi,10400.0,14700.0,8475.0,10338.8,
https://tiktok.com/@michiparedesc,https://tiktok.com/@michiparedesc,583500.0,114300.0,248200.0,304940.0,
https://tiktok.com/@baezageorge,https://tiktok.com/@baezageorge,3100000.0,133300.0,4099999.9999999995,3579480.0,
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@blackskiiofficial,https://tiktok.com/@blackskiiofficial,26000.0,14600.0,11400.0,14957.0,
https://tiktok.com/@notyourlocalhabibi,https://tiktok.com/@notyourlocalhabibi,51300.0,54400.0,51700.0,56660.0,
https://tiktok.com/@madison.humphreyy,https://tiktok.com/@madison.humphreyy,981200.0,1300000.0,2000000.0,1206100.0,
https://tiktok.com/@chillestcat,https://tiktok.com/@chillestcat,36800.0,12200000.0,622700.0,2631800.0,
https://tiktok.com/@bigbaker,https://tiktok.com/@bigbaker,205700.0,282200.0,105300.0,217660.0,
https://tiktok.com/@sofia.rodriguez.1,https://tiktok.com/@sofia.rodriguez.1,382700.0,308100.0,5500000.0,1835040.0,
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@tobiasdiodoardo0,https://tiktok.com/@tobiasdiodoardo0,171700.0,120500.0,511800.0,214260.0,
https://tiktok.com/@nnotej,https://tiktok.com/@nnotej,12300.0,16500.0,92700.0,47300.0,
https://tiktok.com/@lonneytoons_,https://tiktok.com/@lonneytoons_,819.0,984.0,4930.0,2880.6,
https://tiktok.com/@wiggiediego,https://tiktok.com/@wiggiediego,14800.0,15200.0,21000.0,104260.0,
https://tiktok.com/@funnyboitra,https://tiktok.com/@funnyboitra,9454.0,15700.0,20200.0,12321.4,
https://tiktok.com/@jetskips,https://tiktok.com/@jetskips,24100.0,20700.0,117300.0,130560.0,
https://tiktok.com/@beaaborres,https://tiktok.com/@beaaborres,2900000.0,731200.0,274300.0,2286520.0,
https://tiktok.com/@reinbeach,https://tiktok.com/@reinbeach,59800.0,4300000.0,176500.0,1070160.0,
https://tiktok.com/@chrisyenn5,https://tiktok.com/@chrisyenn5,188100.0,575900.0,16100.000000000002,164400.0,
https://tiktok.com/@samespinosao,https://tiktok.com/@samespinosao,526900.0,311400.0,179700.0,281300.0,
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@danyconsoli,https://tiktok.com/@danyconsoli,7304.0,88200.0,13300.0,32611.2,
https://tiktok.com/@hitomidocameraroll,https://tiktok.com/@hitomidocameraroll,23200.0,34900.0,23000.0,116180.0,
https://tiktok.com/@alex2epic,https://tiktok.com/@alex2epic,70400.0,32700.000000000004,41900.0,47920.0,
https://tiktok.com/@luiizafaria ,https://tiktok.com/@luiizafaria ,20600.0,37100.0,204900.0,76840.0,
https://tiktok.com/@kaylag713,https://tiktok.com/@kaylag713,5493.0,1419.0,1390.0,2939.6,
https://tiktok.com/@goatr2,https://tiktok.com/@goatr2,8.0,5.0,NO account found,6.5,
https://tiktok.com/@datboydk,https://tiktok.com/@datboydk,9141.0,42500.0,452200.0,252648.2,
